hcode,name1,name2
145,K1V(A)10-4000,品番350へ
146,S2L60-5001 P12.5,B1QK-070007
147,PVS010T200 ﾀﾞｲﾋﾝ, 
148,D20LC20U-7000,2020年9月末最終受注
149,PVS9R9T200B ﾀﾞｲﾋﾝ, 
150,D30JCB100K-7500, 
151,S2WB(A)80-7062, 
152,S1NBB80-7101,2桁捺印
153,DF20L60U-7072, 
154,ST02-36G1-5063, 
155,S30NC15-7000 ﾊｲｼ,09年12月末最終受注
156,D1FT10A-5103, 
157,D6FEC10ST-5061, 
158,PVS010T200B ﾀﾞｲﾋﾝ, 
159,SF10LC20U-7600 ﾊｲｼ,09年12月末最終受注
160,S30JC10-7000 ﾊｲｼ,09年12月末最終受注
161,D120SC4M-4000, 
162,D20LC40-7000,2020年3月末最終受注
163,SF10LC30SM-7600 ﾊｲｼ,09年12月末最終受注
164,D240SC3M-4000, 
165,D240SC4M-4000, 
166,SF10LC40-7600 ﾊｲｼ,09年12月末最終受注
167,SF10L60U-7600, 
168,SF10NC15M-7600 ﾊｲｼ,09年12月末最終受注
169,CSP42-80AWG-4000, 
170,SF10SC4-7600 ﾊｲｼ,09年12月末最終受注
171,PV-WATCH-ST2-3G(C-U050-REVA),2020年2月末最終受注
172,F20W60C3-7100,所要12月末最終20年9月
173,SF10SC6-7600 ﾊｲｼ,09年12月末最終受注
174,SF10SC9-7600 ﾊｲｼ,09年12月末最終受注
175,SF15JC10-7600 ﾊｲｼ,09年12月末最終受注
176,PV-WATCH-ST2-3G(L-U30P-REVA),2020年2月末最終受注
177,SF15JC6-7600 ﾊｲｼ,09年12月末最終受注
178,SF15NC15M-7600 ﾊｲｼ,09年12月末最終受注
179,D15FY10ST-5063R, 
180,SF20H1R5-7600, 
181,CSP33-80AWG-4000, 
182,ST02D-200-7000, 
183,S2L40U-5003 P12.5, 
184,K1VZL20-5053, 
185,M3FE60-5063, 
186,M1FE60-6063 B1QK-090008, 
187,S1NB60-7101,2桁捺印
188,K1V12F-4000 B1EB-01303,保守
189,SF20LC30-7600,2014年3月末最終受注
190,P13F50HP2-5600, 
191,SF20LC30SM-7600 ﾊｲｼ,09年12月末最終受注
192,D6SB80-7009 F13 B1WS-96021, 
193,PV-WATCH-ST2-LAN(CL-COMBI-REVA, 
194,SF20L60U-7600, 
195,PV-WATCH-ST2-LAN(CL-O300-REVA), 
196,D45JCT160V-7500, 
197,SF20SC4-7600 ﾊｲｼ,09年12月末最終受注
198,PVS ｺｳｶﾝｻｷﾞｮｳﾋ, 
199,M1FS4-6063 SDP 4ｹﾀ, 
200,PVS9R9T200C-SA ｾｯﾄﾊﾝﾊﾞｲ, 
201,PVS9R9T200C-SA, 
202,SF3L60U-7600, 
203,PV-WATCH ｴﾝｶｸｼｮｷｾｯﾃｲ, 
204,D10FY60VE-5063R, 
205,SF30JC10-7600 ﾊｲｼ,09年12月末最終受注
206,P12F60HP2-5600, 
207,D5FY10SY-5063R, 
208,KU10S31NS-5063, 
209,D1FJ10-5063,廃止品
210,DG1H3A-5063, 
211,F10F50VX3-7600 ﾊｲｼ,09年12月末最終受注
212,PV-WATCH-ST2-LTE(C-U050-REVB), 
213,D5SBA60-7000 P2-L, 
214,D3S4M-5060, 
215,CSP33-60-AGW B1ES-040025, 
216,F11F60C3M-7600,所要12月末最終20年9月
217,GPP1U RACK AA, 
218,S20LC40-7000 ﾊｲｼ,09年12月末最終受注
219,SF30NC15M-7600 ﾊｲｼ,09年12月末最終受注
220,PVSｿﾌﾄｳｪｱﾊﾞｰｼﾞｮﾝｱｯﾌﾟ,7511020545
221,SF30SC3L-7600 ﾊｲｼ,09年12月末最終受注
222,D240LC40-4000,2020年3月末最終受注
223,SF30SC4-7600 ﾊｲｼ,09年12月末最終受注
224,P40B10SL-5071, 
225,SF5LC20U-7600 ﾊｲｼ,09年12月末最終受注
226,F12F50VX3-7600 ﾊｲｼ,09年12月末最終受注
227,D25XB60-7009 F14 B1WS-96023, 
228,EVｼﾞｭｳﾃﾞﾝ ﾎｼｭﾊﾟｯｸﾋﾖｳ ｽﾀﾝﾄﾞｱﾛｰﾝ, 
229,P9B40HP2-5071, 
230,E04HA1010D2R, 
231,SF5LC40-7600 ﾊｲｼ,09年12月末最終受注
232,INVSLF-20-1000-S2, 
233,D1FK70-5103  ASD4ｹﾀ, 
234,SF5L60-7600 ﾊｲｼ,09年12月末最終受注
235,2SK1931-4100 ﾊｲﾋﾝ, 
236,D1NS4-7060 B1QK-050034 ﾊｲｼ,09年12月末最終受注
237,SF5L60U-7600, 
238,S3K60-5060, 
239,MH2501SC-5072, 
240,PVS010T200C-SA ｶｲｾｷﾋﾖｳ, 
241,MH2511SC-5072, 
242,SF5SC3L-7600 ﾊｲｼ,09年12月末最終受注
243,SF5SC4-7600 ﾊｲｼ,09年12月末最終受注
244,D35XB80-7000, 
245,SF5S4-7600 ﾊｲｼ,09年12月末最終受注
246,SF5S6-7600 ﾊｲｼ,09年12月末最終受注
247,ST02D-200-4060,ﾒｯｷ変更発注不可
248,D5SB60-7000, 
249,D1FJ4-5053 4ｹﾀ, 
250,SF6L20U-7600 ﾊｲｼ,09年12月末最終受注
251,D1FS6A-5053 ASD 4ｹﾀ, 
252,D1CA20-4100 ﾎｼｭﾋﾝ, 
253,SF8L60-7600 ﾊｲｼ,09年12月末最終受注
254,D1CA60-4100 ﾎｼｭﾋﾝ, 
255,ST02D-170-7000, 
256,SF30JC4-7600 ﾊｲｼ,09年12月末最終受注
257,SF8K60USM-5600, 
258,2SK2185-7100 ﾊｲｼ,09年12月末最終受注
259,SF8L60USM-7600,2014年3月末最終受注
260,2SK2666-7100 ﾊｲｼ,09年12月末最終受注
261,SG20SC3LM-5600, 
262,DE5L60U-7101, 
263,M1FJ4-6063, 
264,F20W50VX3-7100 ﾊｲｼ,09年12月末最終受注
265,FP20W50VX3-7100 ﾊｲｼ,09年12月末最終受注
266,G1V(B)20C-4000, 
267,MA3810-4009 F02 B1WS-91011 ﾊｲﾋ, 
268,S30L60-7000 ﾊｲｼ,09年12月末最終受注
269,S3WB60-5000, 
270,D1NK100-5060, 
271,S2L20U-5060, 
272,P50B6EA-5071, 
273,S20JC10-7000 ﾊｲｼ,09年12月末最終受注
274,M1FL40-5063 ﾊｲﾋﾝ, 
275,D5SC4MR-7000 ﾊｲｼ,09年12月末最終受注
276,S3L40U-5002 P7.5, 
277,S20L60-7000 ﾊｲｼ,09年12月末最終受注
278,MD1333N-3072,最終受注2020年9月末
279,D1FT15A-5103, 
280,P6B52HP2-5071, 
281,MD1423N-3072,最終受注2020年9月末
282,ST20-27F2-5063 B1QK-090008,ﾀﾞｲﾔ様向け
283,DE5L60A-7061 B1QK-090008,ﾀﾞｲﾔ向け
284,P10F60HP2-5600, 
285,MR4030-7101, 
286,D1FS6A-5053, 
287,F11F80C3M-7112, 
288,ST03-43F1-5103, 
289,G1VL10C-5063,5053へ
290,CF6HP2FW-60-50-AGW, 
291,D3SBA60-7100,110へ統一
292,P98LF6QNK-5071, 
293,K1V6-7000S3 B1EB-91237, 
294,D5SBA60-7000, 
295,MA1020P-7104 ﾊｲﾋﾝ, 
296,S1WB(A)60-7101, 
297,D2SB60-7004,100個単位
298,ST70-30MF-4072, 
299,S1WB(A)60B-7101, 
300,DF15VD60-7102, 
301,Cﾊﾞﾝ ﾊｲｾﾝｺｳｶﾅｸﾞ, 
302,MTD2005-7101,2020年9月末最終受注
303,ST03DH-240-7000, 
304,S3V60-5060, 
305,DF30JC6-7102, 
306,F15F60C3M-7600,所要12月末最終20年9月
307,D5SBA20-7000 ﾊｲｼ,09年12月末最終受注
308,ST02D-200-4000, 
309,D1FJ4-5103, 
310,MCZ5207SG-3072, 
311,MD1424R-3072,最終受注2020年9月末
312,DE3L20UA-7101, 
313,DF5VD60-7102, 
314,F20S60C3-7102,所要12月末最終20年9月
315,D30FDC4S-5072, 
317,D1FK60-5103, 
318,DF10SC6-7072, 
319,MR4520-7101, 
320,ST80-14MF-4062 B1QK-060044,ﾀﾞｲﾔ向けﾊﾞｰｺｰﾄﾞ付き
321,BIC221C-3072, 
322,DE10SC4-7061, 
323,S20LC60UST-5000, 
324,D3SB20-7000 ﾊｲｼ,09年12月末最終受注
325,S20SC4M-7000 ﾊｲｼ,09年12月末最終受注
326,D50XB80-7000, 
327,BIC1421-3072, 
328,S50VB80-4000, 
329,DF30NC15-7072, 
330,S20LC20U-7000 ﾊｲｼ,09年12月末最終受注
331,BIC1422-3072, 
332,F11F80C3M-7109 F03 B1WS-00017, 
333,D6JBB60V-7000, 
334,S1NBC80-7062, 
335,S3K60-5000, 
336,F20F60C3M-7600,所要12月末最終20年9月
337,D1NK60-5083, 
338,DG0R7V60-5063, 
339,S2L60-5060, 
340,K1V10F-4000, 
341,DG0R7V60-5063 B1QK-090008,ﾊﾞｰｺｰﾄﾞ付 ﾀﾞｲﾔ向け
342,MR4720-7101, 
343,MR4010-7101, 
344,S3V80-5060, 
345,ST04-18F1-5063,5053へ
346,PV-WATCH ｶｲｾｷﾋﾖｳ, 
347,S10VB20-5003 L10 ﾊｲｼ,09年12月末最終受注
348,F5F50VX3M-7600 ﾊｲｼ,09年12月末最終受注
349,S1ZAL20-7062, 
350,K1V(A)10-7000, 
351,D5SBA60-7009 F07 B1WS-093016, 
352,F8F60VX3-7600 ﾊｲｼ,09年12月末最終受注
353,S1WB(A)60-7072, 
354,ﾌﾟﾗﾁﾅｻｰﾋﾞｽﾌﾟﾗﾝ(ｼﾞｶｼｮｳﾋﾕﾆｯﾄ),113を使用
355,2SK2671-7600, 
356,M1FL20U-6063  ASD4ｹﾀ, 
357,P32FG15SL-5071, 
358,M1FS6-6063 B1QK-060044,ﾊﾞｰｺｰﾄﾞ付
359,P64LF6QN-5071, 
360,MCZ5001V-3072, 
361,P4B60HP2F-5071, 
362,SOLGRIDMANEGERｴﾝｶｸｼｮｷｾｯﾃｲ, 
363,D4SBL40-7000,2020年3月末最終受注
364,D3F60-5063 B1QK-060044,ﾊﾞｰｺｰﾄﾞ付
365,D3CE60K-5063R 4ｹﾀ, 
366,KP40NU11-5063, 
367,ST03D-82-4060,発注不可
